group,students,verwaltungskreis,gemeinde
2,51,Verwaltungskreis Bern-Mittelland,Niedermuhlern
7,220,Verwaltungskreis Oberaargau,Niederönz
4,44,Verwaltungskreis Emmental,Niederösch
6,11,Verwaltungskreis Interlaken-Oberhasli,Niederried bei Interlaken
10,29,Verwaltungskreis Thun,Niederstocken
1,66,Arrondissement administratif Jura bernois,Nods
2,25,Verwaltungskreis Bern-Mittelland,Noflen
2,64,Verwaltungskreis Bern-Mittelland,Oberbalm
7,125,Verwaltungskreis Oberaargau,Oberbipp
4,319,Verwaltungskreis Emmental,Oberburg
2,420,Verwaltungskreis Bern-Mittelland,Oberdiessbach
10,243,Verwaltungskreis Thun,Oberhofen am Thunersee
2,56,Verwaltungskreis Bern-Mittelland,Oberhünigen
10,51,Verwaltungskreis Thun,Oberlangenegg
6,33,Verwaltungskreis Interlaken-Oberhasli,Oberried am Brienzersee
7,47,Verwaltungskreis Oberaargau,Obersteckholz
2,66,Verwaltungskreis Bern-Mittelland,Oberthal
9,91,Verwaltungskreis Seeland,Oberwil bei Büren
5,64,Verwaltungskreis Frutigen-Niedersimmental,Oberwil im Simmental
7,57,Verwaltungskreis Oberaargau,Ochlenberg
2,61,Verwaltungskreis Bern-Mittelland,Oppligen
3,374,Verwaltungskreis Biel/Bienne,Orpund
1,109,Arrondissement administratif Jura bernois,Orvin
2,1372,Verwaltungskreis Bern-Mittelland,Ostermundigen
1,28,Arrondissement administratif Jura bernois,Perrefitte
1,117,Arrondissement administratif Jura bernois,Péry
3,398,Verwaltungskreis Biel/Bienne,Pieterlen
1,19,Arrondissement administratif Jura bernois,Plagne
10,24,Verwaltungskreis Thun,Pohlern
1,17,Arrondissement administratif Jura bernois,Pontenet
3,195,Verwaltungskreis Biel/Bienne,Port
1,35,Arrondissement administratif Jura bernois,Prêles
9,65,Verwaltungskreis Seeland,Radelfingen
9,387,Verwaltungskreis Seeland,Rapperswil (BE)
1,277,Arrondissement administratif Jura bernois,Reconvilier
5,375,Verwaltungskreis Frutigen-Niedersimmental,Reichenbach im Kandertal
7,19,Verwaltungskreis Oberaargau,Reisiswil
1,73,Arrondissement administratif Jura bernois,Renan (BE)
10,94,Verwaltungskreis Thun,Reutigen
2,353,Verwaltungskreis Bern-Mittelland,Riggisberg
6,296,Verwaltungskreis Interlaken-Oberhasli,Ringgenberg (BE)
7,460,Verwaltungskreis Oberaargau,Roggwil (BE)
7,164,Verwaltungskreis Oberaargau,Rohrbach
7,46,Verwaltungskreis Oberaargau,Rohrbachgraben
1,18,Arrondissement administratif Jura bernois,Romont (BE)
4,123,Verwaltungskreis Emmental,Röthenbach im Emmental
2,214,Verwaltungskreis Bern-Mittelland,Rubigen
4,230,Verwaltungskreis Emmental,Rüderswil
4,195,Verwaltungskreis Emmental,Rüdtligen-Alchenflüh
2,166,Verwaltungskreis Bern-Mittelland,Rüeggisberg
4,459,Verwaltungskreis Emmental,Rüegsau
7,23,Verwaltungskreis Oberaargau,Rumisberg
2,12,Verwaltungskreis Bern-Mittelland,Rümligen
2,124,Verwaltungskreis Bern-Mittelland,Rüschegg
9,49,Verwaltungskreis Seeland,Rüti bei Büren
8,703,Verwaltungskreis Obersimmental-Saanen,Saanen
3,156,Verwaltungskreis Biel/Bienne,Safnern
1,133,Arrondissement administratif Jura bernois,Saicourt
1,696,Arrondissement administratif Jura bernois,Saint-Imier
6,10,Verwaltungskreis Interlaken-Oberhasli,Saxeten
2,32,Verwaltungskreis Bern-Mittelland,Schalunen
4,114,Verwaltungskreis Emmental,Schangnau
6,41,Verwaltungskreis Interlaken-Oberhasli,Schattenhalb
1,8,Arrondissement administratif Jura bernois,Schelten
3,37,Verwaltungskreis Biel/Bienne,Scheuren
2,75,Verwaltungskreis Bern-Mittelland,Schlosswil
